,Source IP,S City,S Region,S Country,S Lat,S Long,Destination IP,D City,D Region,D Country,D Lat,D Long
178,10.8.21.8,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
179,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.8,Unknown,Unknown,Unknown,Unknown,Unknown
180,10.8.21.8,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
181,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.8,Unknown,Unknown,Unknown,Unknown,Unknown
182,10.8.21.8,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
183,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.8,Unknown,Unknown,Unknown,Unknown,Unknown
184,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,52.242.211.89,Des Moines,Iowa,US,41.6015,-93.6127
185,52.242.211.89,Des Moines,Iowa,US,41.6015,-93.6127,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
186,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,52.242.211.89,Des Moines,Iowa,US,41.6015,-93.6127
187,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,52.242.211.89,Des Moines,Iowa,US,41.6015,-93.6127
188,52.242.211.89,Des Moines,Iowa,US,41.6015,-93.6127,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
189,52.242.211.89,Des Moines,Iowa,US,41.6015,-93.6127,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
190,52.242.211.89,Des Moines,Iowa,US,41.6015,-93.6127,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
191,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,52.242.211.89,Des Moines,Iowa,US,41.6015,-93.6127
192,52.242.211.89,Des Moines,Iowa,US,41.6015,-93.6127,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
193,52.242.211.89,Des Moines,Iowa,US,41.6015,-93.6127,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
194,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,52.242.211.89,Des Moines,Iowa,US,41.6015,-93.6127
195,52.242.211.89,Des Moines,Iowa,US,41.6015,-93.6127,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
196,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,52.242.211.89,Des Moines,Iowa,US,41.6015,-93.6127
197,52.242.211.89,Des Moines,Iowa,US,41.6015,-93.6127,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
198,52.242.211.89,Des Moines,Iowa,US,41.6015,-93.6127,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
199,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,52.242.211.89,Des Moines,Iowa,US,41.6015,-93.6127
200,52.242.211.89,Des Moines,Iowa,US,41.6015,-93.6127,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
201,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,52.242.211.89,Des Moines,Iowa,US,41.6015,-93.6127
202,52.242.211.89,Des Moines,Iowa,US,41.6015,-93.6127,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
203,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,52.242.211.89,Des Moines,Iowa,US,41.6015,-93.6127
204,52.242.211.89,Des Moines,Iowa,US,41.6015,-93.6127,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
205,52.242.211.89,Des Moines,Iowa,US,41.6015,-93.6127,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
206,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,52.242.211.89,Des Moines,Iowa,US,41.6015,-93.6127
